English,Vietnamese
,"Phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 464 đối tượng tham gia nghiên cứu tại thành phố Buôn Ma Thuột, tỉnh Đắk Lắk."
,Chúng tôi sử dụng bộ câu hỏi thiết kế sẵn để thu thập số liệu từ các đối tượng thông qua phỏng vấn trực tiếp.
,"Kết quả: Trong tháng 1 năm 2020, chúng tôi đã tuyển chọn được 464 người tham gia."
,"Kết quả cho thấy có 67,9% và 76,1% người tham gia có nhận thức kém về các yếu tố nguy cơ và dấu hiệu cảnh báo đột quỵ."
,"Các yếu tố liên quan đến nhận thức kém về các yếu tố nguy cơ đột quỵ là tuổi cao (65 tuổi trở lên), dân tộc thiểu số, trình độ học vấn thấp và nghề nông."
,"Các yếu tố liên quan đến nhận thức về dấu hiệu cảnh báo đột quỵ là tuổi cao, trình độ học vấn thấp, nghề nghiệp và tiền sử gia đình có đột quỵ hiếm gặp."
,Tình trạng dinh dưỡng ở trẻ 6 tháng đến 5 tuổi tại phòng khám dinh dưỡng bệnh viện Nhi Trung ương
,Khảo sát hiệu quả của phương pháp nút mạch hoá chất và các yếu tố tiên lượng ảnh hưởng đến bệnh nhân ung thư biểu mô tế bào gan.
,Child-Pugh A trước TACE và đáp ứng khối u (CR / PR) là những yếu tố tiên lượng khả quan.
,Đối tượng và phương pháp: Tổng cộng có 477 bệnh nhân được chẩn đoán xác định ung thư biểu mô tế bào gan được điều trị bằng phương pháp nút mạch hoá chất (TACE).
,"Bệnh nhân sống được đánh giá bằng phương pháp Kaplan-Meier, các yếu tố tiên lượng ảnh hưởng đến sống còn được đánh giá bằng các phép kiểm log-rank và hồi quy nguy cơ Cox."
,"Kết quả: Trong số 477 bệnh nhân (437 nam, tuổi trung bình 61,1  11,7) được TACE, thời gian theo dõi trung bình là 25,3 (1  63) tháng."
,"Đáp ứng khối u theo RECIST cải tiến ở bệnh nhân theo dõi trên 6 tháng bao gồm đáp ứng hoàn toàn (CR) với điều trị ở 41 bệnh nhân (8,7%), đáp ứng một phần (PR) ở 352 (74,9%), bệnh ổn định (SD) và bệnh tiến triển (PD) ở 77 (16,1%)."
,"Trung vị thời gian sống thêm toàn bộ (OS) là 53  1,1 tháng."
,"Các yếu tố liên quan đến thời gian sống thêm toàn bộ dài hơn bao gồm ECOG  1, Child-Pugh A, BCLC giai đoạn A / B, ALBI độ I, và đáp ứng khối u (CR / PR). Trong phân tích đa biến, Child-Pugh A và đáp ứng khối u khách quan (CR / PR) là các yếu tố dự báo thời gian sống thêm toàn bộ dài hơn."
,Kết luận: TACE là phương pháp điều trị hiệu quả cho ung thư biểu mô tế bào gan.
,Mật độ xương và một số yếu tố liên quan ở phụ nữ mãn kinh
,"Qua đo mật độ xương bằng phương pháp siêu âm định lượng tại phòng khám đa khoa, trường Đại học Y khoa Vinh, Nghệ An, nghiên cứu đã khảo sát mật độ xương và các yếu tố liên quan đến mật độ xương của 203 phụ nữ mãn kinh."
,"Kết quả cho thấy 23,2% phụ nữ mãn kinh nghiên cứu có mật độ xương bình thường; 51,7% giảm mật độ xương và 25,1% có loãng xương; tuổi càng cao, mật độ xương càng giảm, tỷ lệ loãng xương càng tăng (tỷ lệ loãng xương là 42,6% ở tuổi 70 trở lên); thời gian mãn kinh càng dài thì tỷ lệ loãng xương càng tăng."
,Kết quả phẫu thuật ung thư tuyến giáp thể nang
,"Dinh dưỡng đóng vai trò quan trọng trong sự phát triển và phát triển của trẻ, đặc biệt là trẻ dưới 5 tuổi."
,Trẻ có cân nặng lúc sinh thấp (dưới 2500 g) có xu hướng giảm cân sau này về sinh hoạt.
,Kết luận: Suy dinh dưỡng ở trẻ dưới 5 tuổi vẫn còn là một thách thức lớn ở trẻ dưới 5 tuổi.
,Cân nặng sơ sinh có liên quan đến tình trạng dinh dưỡng.
,Mục tiêu: Đánh giá tình trạng dinh dưỡng và các yếu tố liên quan của trẻ từ 6 tháng đến 5 tuổi đến khám tại Phòng khám Dinh dưỡng Bệnh viện Nhi Trung ương.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 234 trẻ từ 6 tháng đến 5 tuổi đến khám tại Phòng khám Dinh dưỡng Bệnh viện Nhi Trung ương từ tháng 9/2020 đến tháng 6/2021.
,"Kết quả: 56,0% đối tượng được bú mẹ hoàn toàn trong vòng 1 giờ sau sinh."
,"Cho ăn bổ sung khi 6 tháng tuổi là 87,0% và 67,9% được cung cấp với tất cả các nhóm thực phẩm."
,Đặc điểm nồng độ homocysteine ở bệnh nhân đái tháo đường typ 2 có loét bàn chân
,"Kết quả: Tỷ lệ bệnh nhân được phẫu thuật cắt toàn bộ tuyến giáp và cắt thuỳ là 75% và 25%, trong mỗi nhóm phẫu thuật bóc tách cổ được thực hiện lần lượt là 66,7% và 0%."
,"Đa số bệnh nhân ở giai đoạn I (75%), 12,5% bệnh nhân ở giai đoạn IV."
,"Biến chứng thường gặp nhất là tổn thương thần kinh thanh quản tái phát thoáng qua và hạ canxi máu, với tỷ lệ xuất hiện tại thời điểm 72 giờ sau phẫu thuật là 14,6% và 18,8%."
,Một bệnh nhân bị suy tuyến cận giáp dai dẳng sau 14 tháng theo dõi.
,"Bóc tách hạch cổ làm tăng nguy cơ hạ canxi máu sau mổ có ý nghĩa thống kê (p  0,05)."
,Kết luận: Phẫu thuật ung thư tuyến giáp thể nang an toàn và hiệu quả.
,Kết quả hoá xạ trị đồng thời với xạ trị điều biến thể tích xạ trị trên bệnh nhân ung thư phổi không tế bào nhỏ giai đoạn III
,Nghiên cứu nồng độ homocystein (Hcy) ở bệnh nhân đái tháo đường típ 2 có loét bàn chân.
,"Đối tượng và phương pháp nghiên cứu: 401 đối tượng là bệnh nhân điều trị nội trú tại Bệnh viện Nội tiết Trung ương từ tháng 11/2014 (47 bệnh nhân trong nhóm chứng, 176 bệnh nhân đái tháo đường típ 2 có loét bàn chân và 178 bệnh nhân đái tháo đường típ 2 không loét bàn chân)."
,Phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang.
,"Kết quả: Nồng độ Homocytein trung bình ở nhóm chứng là 7,49  1,25; nhóm ĐTĐ không có loét bàn chân là 9,38  4,96 và ĐTĐ có loét bàn chân là 12,69  4,91 (p  0,001)."
,"Nồng độ Homocystein ở nam cao hơn ở nữ (ĐTĐ có loét chân: nữ 13,66  4,86 so với nam 11,27  4,66; ĐTĐ không có loét chân: nữ 10,43  5,34 so với nam 8,70  2,76; p  0,05)."
,Nồng độ Homocystein ở nam cao hơn ở nữ; bệnh nhân tăng huyết áp cao hơn bệnh nhân không tăng huyết áp.
,Nghiên cứu so sánh hàm lượng các hợp chất sinh học và sự đa dạng di truyền của loài Polyscias sp
,"Với kỹ thuật VMAT, một loạt các hình dạng trường nhỏ được tạo ra từ mỗi chùm tia."
,Trọng lượng tương đối của từng thành phần dự án sẽ được tối ưu hoá trên mỗi thành phần dự án.
,"Để thực hiện đề tài này, chúng tôi sử dụng phương pháp tối ưu hoá trực tiếp hiệu suất gắn kết."
,Nghiên cứu nhằm đánh giá kết quả và tác dụng không mong muốn của hoá xạ trị đồng thời VMAT trong điều trị ung thư phổi không tế bào nhỏ giai đoạn III tại Bệnh viện K.
,"Từ tháng 6/2017, chúng tôi đã thực hiện kỹ thuật này trên 30 bệnh nhân UTPKTBN."
,"Kết quả cho thấy kỹ thuật xạ trị điều biến liều VMAT có ưu điểm so với kỹ thuật xạ trị 3D trong kế hoạch điều trị như chỉ số HI, CI, UI, V95 tại PTV; V105, thể tích cơ quan nhận liều xạ; tỷ lệ đáp ứng một phần chiếm 80%; tỷ lệ sống thêm toàn bộ 24 tháng là 64% và tỷ lệ sống thêm toàn bộ 24 tháng là 64%."
,Nâng cao giá trị bổ sung của xuất khẩu chè Việt Nam
,Các yếu tố môi trường và giai đoạn sinh trưởng thực vật có thể ảnh hưởng đáng kể đến hàm lượng chất hoá học của cây cao hơn.
,Nghiên cứu này được thực hiện nhằm đánh giá ảnh hưởng của điều kiện sinh học và giai đoạn phát triển thực vật đến hàm lượng một số hợp chất sinh học và sinh năng lượng của cây rau má.
,"Nghiên cứu được thực hiện tại các phòng thí nghiệm của trường Đại học Cần Thơ, từ tháng 1 đến tháng 12 năm 2020."
,"Kết quả cho thấy: giai đoạn tăng trưởng và các bộ phận thực vật ảnh hưởng đáng kể đến tổng hàm lượng thiamine, axit tannic, quercetin và các hợp chất veratrine trong cây này."
,Ảnh hưởng của vật liệu nha khoa đến các thông số nha chu của răng hàm trên đã được điều trị nội nha và phục hình thân răng
,"Trong bối cảnh hội nhập kinh tế quốc tế sâu, điều cần thiết là Việt Nam phải tạo ra những bước đột phá nhằm khẳng định chất lượng và sự phục vụ của các sản phẩm nông nghiệp nói chung và các sản phẩm chè nói riêng."
,"Những đột phá này nên được thực hiện từ sản xuất đến giai đoạn chế biến để đạt được những cải tiến bền vững và nâng cao giá trị của sản phẩm chè Việt Nam, tạo ra thương hiệu chè Việt Nam."
,"Mặc dù Việt Nam có nhiều tiềm năng và đã có những nỗ lực, nhưng việc nâng cao giá trị bổ sung cho trà Việt Nam vẫn còn gặp nhiều khó khăn và thách thức."
,Điều quan trọng là Việt Nam phải có các giải pháp để giúp các sản phẩm chè Việt Nam vào các chợ lớn trên thế giới và nâng cao giá trị bổ sung của xuất khẩu chè Việt Nam trong thời gian tới.
,"Kiến thức, thái độ và các yếu tố liên quan đến an toàn người bệnh của nhân viên y tế tại bệnh viện đa khoa huyện Mộc Châu, tỉnh Sơn La năm 2019"
,Đánh giá hiệu quả của các loại vật liệu nha khoa (cả phục hình và phục hình kim loại) sử dụng để làm ảnh hưởng đến các mô nướu xung quanh.
,"Đối tượng và phương pháp nghiên cứu: 20 bệnh nhân có răng cối lớn hàm trên đã được điều trị tuỷ tại Khoa Lâm sàng 3, Khoa Răng Hàm Mặt, Đại học Y Dược Thành phố Hồ Chí Minh, được chọn vào nghiên cứu."
,"Các đối tượng được chia thành 2 nhóm, gồm 10 đối tượng được điều trị bằng tất cả các loại phục hình và 10 đối tượng còn lại được điều trị bằng phục hình bằng phục hình bằng sứ kim loại. Các thông số nha chu được ghi nhận ngay sau khi gắn mão, 45 và 90 ngày sau đó."
,"Kết quả: Các thông số lâm sàng nha chu tại thời điểm gắn mão, 45 và 90 ngày sau gắn mão không có sự khác biệt có ý nghĩa thống kê giữa hai nhóm sử dụng mão toàn sứ và mão sứ kim loại."
,"Răng giả làm tăng nhẹ chỉ số mảng bám và chỉ số lợi ở cả hai nhóm nhưng không có sự khác biệt có ý nghĩa thống kê (p > 0,05)."
,Kết luận: Không có sự khác biệt có ý nghĩa thống kê về ảnh hưởng của việc sử dụng tất cả các loại phục hình răng sứ hoặc phục hình răng sứ lên các chỉ số mô nướu.
,"Một số chỉ số sức khoẻ, hành vi nguy cơ và sử dụng dịch vụ y tế của thanh thiếu niên dân tộc Chăm tỉnh An Giang năm 2019"
,"Nghiên cứu này được thực hiện nhằm mô tả kiến thức, thái độ và phân tích một số yếu tố liên quan đến an toàn người bệnh tại Bệnh viện đa khoa huyện Mộc Châu, tỉnh Sơn La bằng phương pháp mô tả cắt ngang."
,"Kết quả cho thấy đối tượng có kiến thức đúng về an toàn người bệnh chiếm 60,6%."
,"Nguyên nhân hàng đầu gây sai sót y khoa hoặc mất an toàn chăm sóc sức khoẻ người bệnh là sai sót cá nhân (89,4%), sai sót hệ thống (59,4%) và quản lý, điều trị và môi trường (50%)."
,Tất cả nhân viên y tế đều bị tai nạn y tế với hậu quả nặng nề (trên 98%).
,"Tỷ lệ người bệnh có thái độ đúng về an toàn người bệnh rất cao (99,4%)."
,"Các yếu tố liên quan đến kiến thức và thái độ về an toàn người bệnh của nhân viên y tế được tìm thấy là trình độ học vấn, và thời gian làm việc trung bình hàng tuần."
,Đánh giá việc sử dụng erythropoietin ở bệnh nhân suy thận mạn giai đoạn cuối lọc máu chu kỳ tại Bệnh viện Thận Hà Nội
,"Để nâng cao chất lượng dịch vụ chăm sóc sức khoẻ cho trẻ vị thành niên Chăm trong thời gian tới, nghiên cứu đã mô tả một số chỉ số sức khoẻ, hành vi nguy cơ và sử dụng dịch vụ chăm sóc sức khoẻ, dựa trên những yếu tố này, chúng tôi tiến hành đề tài Giải pháp cấp thiết và cấp bách cho chăm sóc sức khoẻ đồng bào dân tộc thiểu số trong nước."
,"Dựa vào điều này, các gia đình và trường học cần được khuyến khích và chia sẻ ngay khi có dấu hiệu chán nản, để tránh những ảnh hưởng tiêu cực đến học tập của họ, cha mẹ và thanh thiếu niên nên đến phòng khám y tế để điều trị khi bị bệnh, không điều trị tại nhà."
,Đánh giá ảnh hưởng đến sức mạnh nắm nắm bàn tay khi thay đổi tư thế khuỷu tay và cổ tay ở người từ 20 đến 39 tuổi
,Điều trị và kiểm soát thiếu máu đóng vai trò quan trọng trong việc nâng cao chất lượng và hiệu quả của thận nhân tạo.
,Nghiên cứu được tiến hành trên 61 bệnh nhân thoả tiêu chuẩn lựa chọn và không được đưa vào nhóm chứng.
,"Thu thập số liệu từ hồ sơ bệnh án bằng phương pháp hồi cứu, mô tả, theo dõi dọc trong 6 tháng."
,Số liệu được xử lý bằng phần mềm Microsoft Excel Office 2010 và R. Kết quả cho thấy bệnh nhân sử dụng đồng thời cả EPO alpha và EPO beta.
,Dạng đông khô (EPO alpha) được sử dụng phổ biến nhất.
,"Không có bất thường về huyết áp, bạch cầu, tiểu cầu, điện giải."
,Tỷ lệ tiền đái tháo đường típ 2 ở người từ 25 tuổi trở lên tại tỉnh Thái Bình
,"Nghiên cứu mô tả cắt ngang được thực hiện năm 2017, với phương pháp chọn mẫu cụm (PPS) để chọn 30 xã / phường tại 8 huyện / thành phố Thái Bình."
,"Tổng số 1450 người trưởng thành từ 25 tuổi trở lên và xét nghiệm đường huyết mao mạch bằng Accu-Chek - D 10 - BIO-RAD, kết quả cho thấy: Tỷ lệ tiền đái tháo đường là 15,2%; nam giới là 18,6%, cao hơn so với nữ giới, chiếm 11,3% (p  0,05)."
,"Tỷ lệ tiền đái tháo đường có xu hướng tăng dần theo nhóm tuổi, ở nhóm tuổi từ 70 trở lên, tỷ lệ cao nhất (17,3%), tuổi từ 60-69 (19,6%), nhóm tuổi 40-59 chiếm 17,0% và thấp nhất nhóm tuổi 25-39 chiếm 5,1% (p  0,05)."
,Tỷ lệ tiền đái tháo đường cao hơn ở nhóm nghề nghiệp ổn định.
,"Sự khác biệt giữa các nhóm nghề nghiệp có ý nghĩa thống kê (p  0,05)."
,Một số yếu tố liên quan đến mệt mỏi ở bệnh nhân suy thận mạn lọc máu chu kỳ tại một số bệnh viện ở thành phố Nam Định
,Tìm hiểu một số yếu tố liên quan đến sự hài lòng của sinh viên sau đại học đối với thực hành mô phỏng tại Trung tâm thực hành tiền lâm sàng Trường Đại học Điều dưỡng Nam Định.
,Phương pháp nghiên cứu: Nghiên cứu định lượng được thực hiện trên 200 sinh viên điều dưỡng chính quy sau khi kết thúc khoá học thực hành mô phỏng tại trung tâm thực hành tiền lâm sàng.
,Những sinh viên này sử dụng bộ công cụ thiết kế sẵn để đánh giá sự hài lòng của sinh viên về thực hành mô phỏng và tìm hiểu một số yếu tố liên quan đến sự hài lòng đó.
,"Kết quả: Có 4 yếu tố ảnh hưởng đến sự hài lòng của sinh viên khi học thực hành mô phỏng, bao gồm: Cơ sở vật chất; Giảng viên; Nhận thức của sinh viên; thời gian học tập và nhóm thực hành mô phỏng."
,"Trong nghiên cứu và thẩm định mô hình hồi quy, 4 thành phần đề xuất là phù hợp và có ý nghĩa thống kê."
,"Trong 4 thành phần được xác định trong mô hình nghiên cứu, mức độ ảnh hưởng của các thành phần khác nhau đến sự hài lòng của sinh viên về thực hành mô phỏng học tập tại các trung tâm tiền lâm sàng."
,"Cụ thể, ảnh hưởng đến sự hài lòng của sinh viên là thành phần khoa học (Beta  0,136); thứ hai là thành phần học tập (Beta  0,226); thứ ba là thành phần học tập Thời gian và phân nhóm thực hành mô phỏng (Beta  0,095) và thành phần cuối cùng là cơ sở vật chất (beta  0,419)."
,ĐÁNH GIÁ KẾT QUẢ ĐIỀU TRỊ TÓM TẮT Nghiên cứu can thiệp lâm sàng không nhóm chứng tại bệnh viện đa khoa tỉnh Thừa Thiên Huế
,"Lực nắm là một phần cụ thể của ""cơ lực"" của chi trên cần được sử dụng để kéo hoặc nắm lấy vật."
,Kết luận: Nghiên cứu này cho thấy các tác động khác nhau lên sức mạnh nắm nắm khi người bệnh sử dụng các bàn tay khác nhau có sự thay đổi ở vị trí khuỷu tay và cổ tay.
,Lực nắm ở bàn tay thuận là tối đa với khuỷu tay duỗi hoàn toàn và cổ tay ở tư thế trung gian.
,Đánh giá sức mạnh bàn tay là rất quan trọng trong việc xác định hiệu quả của các chiến lược điều trị khác nhau hoặc hiệu quả của các phương pháp điều trị khác nhau.
,Các nghiên cứu về ảnh hưởng của vị trí khuỷu tay và cổ tay lên sức mạnh nắm nắm vẫn còn nhiều tranh cãi.
,Mục tiêu: Nghiên cứu này nhằm đánh giá ảnh hưởng của vị trí khớp khuỷu và cổ tay lên sức mạnh nắm nắm và tìm ra vị trí thuận lợi cho lực nắm vững để cải thiện chức năng nắm nắm.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu bao gồm 178 đối tượng (110 nam và 68 nữ) bình thường khoẻ mạnh theo nhóm tuổi từ 20-39 tuổi tại trường Đại học Quốc tế Hồng Bàng.
,Sử dụng máy đo vận tốc Jamar Dynamometer để đo sức mạnh cầm nắm ở các vị trí khác nhau của khuỷu tay và cổ tay.
,Thông tin về chỉ số nhân trắc được thu thập bằng cách đo trực tiếp.
,"Kết quả: Kết quả nghiên cứu cho thấy vị trí khuỷu tay và cổ tay có ảnh hưởng đến sức mạnh cầm nắm khi được coi là cá nhân (p  0,001)."
,"Kết quả nghiên cứu ANOVA cho thấy có sự khác biệt (p  0,001) về sức mạnh cầm nắm giữa gấp khuỷu 90o và duỗi hoàn toàn với các tiêu chí viết ở tư thế duỗi trung gian và duỗi 30o."
,"Thực trạng quản lý bệnh nhân đái tháo đường type 2 tại Trung tâm Y tế Gia Lộc, Hải Dương năm 2021"
,"Mô tả đặc điểm lâm sàng, điện sinh lý của tổn thương thần kinh ngoại biên ở bệnh nhân đái tháo đường típ 2 mới chẩn đoán."
,Kết luận: Đo dẫn truyền thần kinh có thể cho thấy những thay đổi sớm về tổn thương thần kinh ngoại biên ở bệnh nhân đái tháo đường mới được chẩn đoán.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang được thực hiện trên 98 người bệnh đái tháo đường típ 2 mới được chẩn đoán tại Khoa Nội tiết  Đái tháo đường và Trung tâm Thần kinh Bệnh viện Bạch Mai.
,"Kết quả: Tuổi trung bình của nhóm nghiên cứu là 58,05  12,82."
,"Nhóm tuổi thường gặp nhất là trên 60 tuổi 45,9%, tỷ lệ nam / nữ là 1,45."
,"Tỷ lệ bệnh nhân có tăng huyết áp kèm theo là 65,3%, rối loạn lipid máu là 71,4%."
,"Tại thời điểm chẩn đoán ĐTĐ, đa số bệnh nhân có mức HbA1C cao trên 7% chiếm 86,7%, với mức HbA1C trung bình là 11,8%."
,"Giảm / mất phản xạ gân Achilles là một dấu hiệu lâm sàng thường gặp, gợi ý tổn thương thần kinh ở người đái tháo đường."
,Có 22 bệnh nhân có thay đổi các chỉ số dẫn truyền thần kinh.
,"Trong đó, giảm biên độ vận động và kéo dài vận tốc dẫn truyền cảm giác là phổ biến nhất."
,Đánh giá tình trạng dinh dưỡng và một số yếu tố liên quan ở bệnh nhân đột quỵ não cấp có rối loạn nuốt tại Trung tâm Đột quỵ - Bệnh viện Trung ương Quân đội 108
,Mô tả thực trạng quản lý bệnh nhân đái tháo đường típ 2.
,"Kết luận và kiến nghị: Tỷ lệ người bệnh tuân thủ điều trị còn thấp, nhân viên y tế cần tăng cường tư vấn để nâng cao tỷ lệ người bệnh tuân thủ điều trị đạt mục tiêu glucose máu lúc đói và HbA1c."
,"Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang tiến hành trên 356 bệnh nhân đái tháo đường type 2 đang điều trị tại Trung tâm Y tế Gia Lộc, Hải Dương."
,"Kết quả: Tuổi trung bình của bệnh nhân là 52,5  13,1 tuổi."
,"Tỷ lệ bệnh nhân nam là 57,6%, nữ là 42,4%."
,"Thời gian chẩn đoán từ 1 đến dưới 2 năm chiếm tỷ lệ cao nhất 44,7%."
,"Tỷ lệ bệnh nhân tăng huyết áp là 50,3%, rối loạn lipid máu là 28,4%."
,"Tỷ lệ bệnh nhân có biến chứng đái tháo đường là 21,3%."
,"Tỷ lệ bệnh nhân tuân thủ chế độ ăn, hoạt động thể lực và thuốc lần lượt là 68,0%, 53,9% và 70,8%."
,"Tỷ lệ bệnh nhân kiểm soát đường huyết lúc đói và chỉ số HbA1c đạt mục tiêu lần lượt là 73,6% và 64,9%."
,Khảo sát nồng độ NT-proBNP huyết thanh ở bệnh nhân basedow mới chẩn đoán tại Bệnh viện Đại học Y Hà Nội
,Nhận xét tình trạng dinh dưỡng ở bệnh nhân đột quỵ não cấp có rối loạn nuốt.
,Đánh giá mối liên quan giữa tình trạng dinh dưỡng và rối loạn nuốt ở bệnh nhân đột quỵ não cấp.
,"Đối tượng và phương pháp: Gồm 76 bệnh nhân đột quỵ não cấp có rối loạn nuốt từ tháng 12/2019 đến tháng 12/2020, tại Trung tâm Đột quỵ - Bệnh viện Trung ương Quân đội 108, tình trạng dinh dưỡng được đánh giá theo phương pháp Đánh giá toàn diện chủ quan  (SGA)."
,"Kết quả và kết luận: Tỷ lệ suy dinh dưỡng trung bình theo chỉ số khối cơ thể (BMI) lần lượt là 6,6% và 7,9% tại thời điểm nhập viện và khi ra viện."
,"Bệnh nhân có nguy cơ suy dinh dưỡng trung bình theo SGA chiếm 63,2% lúc nhập viện và 43,4% lúc xuất viện; nguy cơ suy dinh dưỡng trung bình và nặng tăng lên khi rối loạn nuốt trầm trọng hơn."
,Sử dụng thuốc chống kết tập tiểu cầu trong điều trị nhồi máu cơ tim cấp tại Bệnh viện Đa khoa thành phố Cần Thơ năm 2021
,Khảo sát nồng độ NTproBNP huyết thanh ở bệnh nhân Basedow mới chẩn đoán tại Bệnh viện Đại học Y Hà Nội.
,Xác định một số yếu tố liên quan đến nồng độ NTproBNP huyết thanh ở bệnh nhân Basedow mới chẩn đoán.
,"Đối tượng nghiên cứu: 97 bệnh nhân mới chẩn đoán bệnh Basedow lần đầu tại Bệnh viện Đại học Y Hà Nội từ tháng 10/2021 đến tháng 9/2022, được xét nghiệm NT-proBNP huyết thanh và đánh giá bằng siêu âm Doppler tim một số chỉ số hình thái và chức năng."
,"Kết quả: Tuổi trung bình: 38,55  12,84, tỷ lệ nữ / nam: 3, 4/1."
,"Nồng độ NT-proBNP ở bệnh nhân nữ cao hơn bệnh nhân nam, sự gia tăng NT-proBNP tỷ lệ thuận với nồng độ FT4 và TrAb máu, đường kính nhĩ trái và áp lực động mạch phổi tâm thu, sự khác biệt có ý nghĩa thống kê với p  0,05."
,"Kết luận: Nồng độ NT-proBNP liên quan có ý nghĩa với giới tính, FT4, TrAb huyết thanh và một số chỉ số hình thái và chức năng tim trên siêu âm ở bệnh nhân Basedow mới được chẩn đoán."
,Kết quả điều trị phẫu thuật vẹo cột sống vô căn tuổi vị thành niên bằng kỹ thuật Lenke
,Xác định tỷ lệ sử dụng thuốc chống kết tập tiểu cầu trong điều trị nhồi máu cơ tim cấp.
,"Tỷ lệ sử dụng aspirin (100%) cao hơn tỷ lệ sử dụng ticagrelor (38,7%)."
,"Ngoài ra, tỷ lệ phối hợp aspirin và clopidogrel cao hơn tỷ lệ phối hợp aspirin và ticagrelor."
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang với 380 bệnh nhân nhồi máu cơ tim cấp điều trị nội trú tại Bệnh viện Đa khoa thành phố Cần Thơ từ tháng 1/2021 đến tháng 12/2021.
,Bệnh nhân trong mẫu nghiên cứu sử dụng thuốc chống kết tập tiểu cầu.
,"Kết quả: Tỷ lệ nhóm dưới 65 tuổi là 32,4%, nhóm từ 65 tuổi trở lên là 67,6%."
,"Tuổi trung bình là 69  12 tuổi, lớn nhất là 96 tuổi, nhỏ nhất là 23 tuổi, trong đó số nam chiếm 54,5%, nữ chiếm 45,5%."
,"Thuốc chống kết tập tiểu cầu được sử dụng trong điều trị nhồi máu cơ tim cấp là aspirin, clopidogrel và ticagrelor, chiếm tỷ lệ lần lượt là 100%, 88,9% và 38,7%."
,"Tỷ lệ bắt đầu dùng aspirin là 100%, clopidogrel là 88,9%, ticagrelor là 38,7% và tỷ lệ duy trì dùng aspirin là 100%, clopidogrel là 79,7%, ticagrelor là 38,7%."
,"Ngoài ra, trong điều trị nhồi máu cơ tim cấp, phối hợp aspirin và clopidogrel là 88,9% và phối hợp aspirin và ticagrelor là 38,7%."
,"Kết luận: Trong điều trị nhồi máu cơ tim cấp, aspirin được sử dụng nhiều nhất và được coi là thuốc đầu tay."
,Đánh giá kết quả gây mê hồi sức bệnh nhân Covid-19 có hướng dẫn phẫu thuật cấp cứu tại Bệnh viện Đa khoa Đức Giang
,"Báo cáo kết quả lâm sàng, X-quang sau nắn chỉnh vẹo cột sống bằng kỹ thuật Lenke ở bệnh nhân vẹo cột sống vô căn vị thành niên."
,"Đối tượng và phương pháp: Trong thời gian từ năm 2009 đến năm 2022 tại Khoa Phẫu thuật cột sống, Bệnh viện Trung ương Quân đội 108, có 120 bệnh nhân vẹo cột sống vô căn tuổi vị thành niên được phẫu thuật bằng phương pháp nắn chỉnh vẹo cột sống theo phương pháp Lenke."
,"Trên mặt phẳng đứng dọc, góc gù ngực trung bình trước phẫu thuật 18,87 độ được sửa đổi thành 23,16 độ."
,"Cân bằng vai trước mổ trung bình 0,92 cm được điều chỉnh xuống 0,3 cm với p  0,001."
,"Hiệu quả hoá trị bước một phác đồ epirubicin, oxaliplatin, capecitabine trên bệnh nhân ung thư dạ dày giai đoạn tiến xa tại Bệnh viện Trường Đại học Y dược Huế và Trung tâm Ung bướu Bệnh viện Trung ương Huế"
,Nghiên cứu này nhằm khảo sát đặc điểm bệnh nhân Covid-19 có chỉ định phẫu thuật cấp cứu thông qua việc áp dụng gây mê và đánh giá kết quả điều trị 30 ngày sau phẫu thuật của nhóm bệnh nhân này.
,"Có 2 bệnh nhân tử vong do Covid-19 (1,4%), 98,6% bệnh nhân hồi phục và ra viện."
,Tỷ lệ nhiễm Covid-19 của nhân viên y tế tại phòng mổ là 2% (1/5 0 nhân viên).
,"Kết luận: Qua nghiên cứu 142 bệnh nhân nhiễm Covid-19 được chỉ định phẫu thuật cấp cứu, 69% bệnh nhân được tiêm ít nhất 1 mũi vắc xin, tỷ lệ bệnh nhân không có triệu chứng, triệu chứng nặng và bệnh nguy kịch chiếm tỷ lệ tương đương 14,1%, 4,2% và 3,5%."
,"Phẫu thuật sản phụ khoa chiếm 70,4%, gây tê tuỷ sống và gây mê toàn thân chiếm 54,9% và 45,1%."
,"Tỷ lệ bệnh nhân tử vong do Covid-19 trong 30 ngày đầu là 1,4%."
,Đối tượng và phương pháp nghiên cứu: Chúng tôi tiến hành phân tích hồi cứu số liệu 142 bệnh nhân Covid-19 được xác định bằng xét nghiệm PCR có chỉ định phẫu thuật cấp cứu tại khoa Gây mê hồi sức Bệnh viện đa khoa Đức Giang.
,"Các bệnh nhân trong nghiên cứu của chúng tôi được phân loại theo ASA (Hội Gây mê Hoa Kỳ), mức độ nặng của Covid-19 theo quyết định số 250 của Bộ Y tế."
,"Các đặc điểm lâm sàng, tiền sử tiêm vắc xin, mức độ tổn thương phổi trên X-quang và diễn biến sau mổ của bệnh nhân được đánh giá và ghi nhận."
